animal	sexo	controle	idade	peso
134	1	7	35	769
134	1	8	42	943
134	1	9	49	1235
134	1	10	56	1631
134	1	11	63	1890
134	1	12	70	2080
134	1	13	77	2275
134	1	14	84	2420
134	1	15	90	2520
135	2	1	0	34
135	2	2	1	42
135	2	3	7	97
135	2	4	14	202
135	2	5	21	346
135	2	6	28	606
135	2	7	35	785
135	2	8	42	902
135	2	9	49	1030
135	2	10	56	1195
135	2	11	63	1348
135	2	12	70	1430
135	2	13	77	1495
135	2	14	84	1600
135	2	15	90	1630
136	1	1	0	35
136	1	2	1	46
136	1	3	7	126
136	1	4	14	246
136	1	5	21	407
136	1	6	28	757
136	1	7	35	1052
136	1	8	42	1426
136	1	9	49	1557
136	1	10	56	1855
136	1	11	63	1862
136	1	12	70	2350
136	1	13	77	2510
136	1	14	84	2775
136	1	15	90	2920
137	1	1	0	46
137	1	2	1	49
137	1	3	7	72
137	1	4	14	169
137	1	5	21	333
137	1	6	28	546
137	1	7	35	972
137	1	8	42	1261
137	1	9	49	1640
137	1	10	56	1992
137	1	11	63	2330
137	1	12	70	2545
137	1	13	77	2685
137	1	14	84	2825
137	1	15	90	2955
138	1	1	0	41
138	1	2	1	45
138	1	3	7	73
138	1	4	14	201
138	1	5	21	409
138	1	6	28	658
138	1	7	35	970
138	1	8	42	1173
138	1	9	49	1530
138	1	10	56	1774
138	1	11	63	2190
138	1	12	70	2370
138	1	13	77	2535
138	1	14	84	2590
138	1	15	90	2655
139	2	1	0	45
139	2	2	1	49
139	2	3	7	79
139	2	4	14	207
139	2	5	21	402
139	2	6	28	664
139	2	7	35	926
139	2	8	42	1100
139	2	9	49	1355
139	2	10	56	1666
139	2	11	63	1780
139	2	12	70	1865
139	2	13	77	1880
139	2	14	84	1965
139	2	15	90	1985
140	1	1	0	47
140	1	2	1	51
140	1	3	7	80
140	1	4	14	191
140	1	5	21	386
140	1	6	28	613
140	1	7	35	823
140	1	8	42	1018
140	1	9	49	1360
140	1	10	56	1862
140	1	11	63	2155
140	1	12	70	2410
140	1	13	77	2595
140	1	14	84	2830
140	1	15	90	2960
141	2	1	0	32
141	2	2	1	42
141	2	3	7	112
141	2	4	14	199
141	2	5	21	357
141	2	6	28	603
141	2	7	35	798
141	2	8	42	1018
141	2	9	49	1066
141	2	10	56	1250
141	2	11	63	1425
141	2	12	70	1535
141	2	13	77	1590
141	2	14	84	1670
141	2	15	90	1680
142	1	1	0	32
142	1	2	1	41
142	1	3	7	106
142	1	4	14	191
142	1	5	21	279
142	1	6	28	590
142	1	7	35	850
142	1	8	42	1151
142	1	9	49	1344
142	1	10	56	1585
142	1	11	63	1809
142	1	12	70	2070
142	1	13	77	2305
142	1	14	84	2535
142	1	15	90	2710
143	2	1	0	31
143	2	2	1	42
143	2	3	7	122
143	2	4	14	136
143	2	5	21	257
143	2	6	28	487
143	2	7	35	696
143	2	8	42	875
143	2	9	49	964
143	2	10	56	1160
143	2	11	63	1014
143	2	12	70	1460
143	2	13	77	1560
143	2	14	84	1660
143	2	15	90	1695
144	1	1	0	42
144	1	2	1	50
144	1	3	7	107
144	1	4	14	196
144	1	5	21	328
144	1	6	28	527
144	1	7	35	904
144	1	8	42	1165
144	1	9	49	1283
144	1	10	56	1580
144	1	11	63	1885
144	1	12	70	2110
144	1	13	77	2310
144	1	14	84	2610
144	1	15	90	2720
145	1	1	0	41
145	1	2	1	45
145	1	3	7	70
145	1	4	14	170
145	1	5	21	368
145	1	6	28	618
145	1	7	35	915
145	1	8	42	1120
145	1	9	49	1555
145	1	10	56	1960
145	1	11	63	2215
145	1	12	70	2490
145	1	13	77	2660
145	1	14	84	2780
145	1	15	90	2955
146	2	1	0	33
146	2	2	1	44
146	2	3	7	124
146	2	4	14	121
146	2	5	21	214
146	2	6	28	368
146	2	7	35	601
146	2	8	42	779
146	2	9	49	873
146	2	10	56	1020
146	2	11	63	1122
146	2	12	70	1230
146	2	13	77	1325
146	2	14	84	1435
146	2	15	90	1455
147	2	1	0	29
147	2	2	1	40
147	2	3	7	120
147	2	4	14	150
147	2	5	21	228
147	2	6	28	421
147	2	7	35	637
147	2	8	42	819
147	2	9	49	952
147	2	10	56	1150
147	2	11	63	1309
147	2	12	70	1440
147	2	13	77	1480
147	2	14	84	1555
147	2	15	90	1570
148	1	1	0	27
148	1	2	1	32
148	1	3	7	64
148	1	4	14	144
148	1	5	21	233
148	1	6	28	452
148	1	7	35	611
148	1	8	42	771
148	1	9	49	1045
148	1	10	56	1340
148	1	11	63	1612
148	1	12	70	1990
148	1	13	77	2095
148	1	14	84	2370
148	1	15	90	2570
149	2	1	0	33
149	2	2	1	41
149	2	3	7	94
149	2	4	14	163
149	2	5	21	264
149	2	6	28	490
149	2	7	35	708
149	2	8	42	939
149	2	9	49	1128
149	2	10	56	1205
149	2	11	63	1357
149	2	12	70	1455
149	2	13	77	1510
149	2	14	84	1625
149	2	15	90	1620
150	1	1	0	43
150	1	2	1	52
150	1	4	14	178
150	1	5	21	366
150	1	6	28	571
150	1	7	35	880
150	1	8	42	1025
150	1	9	49	1315
150	1	10	56	1640
150	1	11	63	2035
150	1	12	70	2030
150	1	13	77	2215
150	1	14	84	2475
151	1	1	0	49
151	1	2	1	57
151	1	4	14	170
151	1	5	21	333
151	1	6	28	541
151	1	7	35	887
151	1	8	42	995
151	1	9	49	1295
151	1	10	56	1555
151	1	11	63	2135
151	1	12	70	2020
151	1	13	77	2205
151	1	14	84	2415
152	2	1	0	40
152	2	2	1	49
152	2	4	14	174
152	2	5	21	339
152	2	6	28	525
152	2	7	35	751
152	2	8	42	885
152	2	9	49	1115
152	2	10	56	1260
152	2	11	63	1480
152	2	12	70	1400
152	2	13	77	1455
152	2	14	84	1585
153	1	1	0	48
153	1	2	1	57
153	1	4	14	189
153	1	5	21	383
153	1	6	28	675
153	1	7	35	1089
153	1	8	42	1285
153	1	9	49	1660
153	1	10	56	2050
153	1	11	63	2470
153	1	12	70	2290
153	1	13	77	2675
153	1	14	84	2995
154	1	1	0	39
154	1	2	1	50
154	1	4	14	209
154	1	5	21	407
154	1	6	28	663
154	1	7	35	932
154	1	8	42	1110
154	1	9	49	1420
154	1	10	56	1635
154	1	11	63	1840
154	1	12	70	1840
