pecan	trat	rep	unE	ph	turb1	turb
3	2	3	323	5.48	0.6	0.6
3	3	3	333	5.48	0.6	0.6
3	4	3	343	5.86	0.7	0.7
3	1	3	313	4.93	0.2	0.2
3	2	3	323	5.7	0.7	0.7
3	3	3	333	5.68	0.7	0.7
3	4	3	343	5.83	0.5	0.5
3	1	3	313	4.93	0.4	0.4
3	2	3	323	5.75	0.5	0.5
3	3	3	333	5.5	0.6	0.6
3	4	3	343	5.66	1.1	1.1
3	1	3	313	4.83	0.2	0.2
3	2	3	323	5.43	0.5	0.5
3	3	3	333	5.69	0.5	0.5
3	4	3	343	5.48	1.1	1.1
3	1	3	313	4.83	0.2	0.2
3	2	3	323	5.55	0.5	0.5
3	3	3	333	5.47	0.6	0.6
3	4	3	343	5.64	1.1	1.1

